fraccion,industria,aviso_automatico
5209.39.99,Textil y Confeccion,True
5209.41.01,Textil y Confeccion,True
5209.42.02,Textil y Confeccion,True
5209.42.03,Textil y Confeccion,True
5209.42.91,Textil y Confeccion,True
5209.42.92,Textil y Confeccion,True
5209.43.01,Textil y Confeccion,True
5209.49.01,Textil y Confeccion,True
5209.51.01,Textil y Confeccion,True
5209.52.01,Textil y Confeccion,True
5209.59.01,Textil y Confeccion,True
5209.59.99,Textil y Confeccion,True
5210.11.01,Textil y Confeccion,True
5210.11.99,Textil y Confeccion,True
5210.19.01,Textil y Confeccion,True
5210.19.02,Textil y Confeccion,True
5210.19.99,Textil y Confeccion,True
5210.21.01,Textil y Confeccion,True
5210.29.01,Textil y Confeccion,True
5210.29.02,Textil y Confeccion,True
5210.29.99,Textil y Confeccion,True
5210.31.01,Textil y Confeccion,True
5210.32.01,Textil y Confeccion,True
5210.39.01,Textil y Confeccion,True
5210.39.99,Textil y Confeccion,True
5210.41.01,Textil y Confeccion,True
5210.49.01,Textil y Confeccion,True
5210.49.99,Textil y Confeccion,True
5210.51.01,Textil y Confeccion,True
5210.59.01,Textil y Confeccion,True
5210.59.02,Textil y Confeccion,True
5210.59.99,Textil y Confeccion,True
5211.11.01,Textil y Confeccion,True
5211.11.99,Textil y Confeccion,True
5211.12.01,Textil y Confeccion,True
5211.19.01,Textil y Confeccion,True
5211.19.99,Textil y Confeccion,True
5211.20.01,Textil y Confeccion,True
5211.20.02,Textil y Confeccion,True
5211.20.03,Textil y Confeccion,True
5211.20.99,Textil y Confeccion,True
5211.31.01,Textil y Confeccion,True
5211.32.01,Textil y Confeccion,True
5211.39.01,Textil y Confeccion,True
5211.39.99,Textil y Confeccion,True
5211.41.01,Textil y Confeccion,True
5211.42.02,Textil y Confeccion,True
5211.42.03,Textil y Confeccion,True
5211.42.91,Textil y Confeccion,True
5211.42.92,Textil y Confeccion,True
5211.43.01,Textil y Confeccion,True
5211.49.01,Textil y Confeccion,True
5211.51.01,Textil y Confeccion,True
5211.52.01,Textil y Confeccion,True
5211.59.01,Textil y Confeccion,True
5211.59.99,Textil y Confeccion,True
5212.11.01,Textil y Confeccion,True
5212.12.01,Textil y Confeccion,True
5212.13.01,Textil y Confeccion,True
5212.14.01,Textil y Confeccion,True
5212.15.01,Textil y Confeccion,True
5212.21.01,Textil y Confeccion,True
5212.22.01,Textil y Confeccion,True
5212.23.01,Textil y Confeccion,True
5212.24.01,Textil y Confeccion,True
5212.24.99,Textil y Confeccion,True
5212.25.01,Textil y Confeccion,True
5301.10.01,Textil y Confeccion,True
5301.21.01,Textil y Confeccion,True
5301.29.99,Textil y Confeccion,True
5301.30.01,Textil y Confeccion,True
5302.10.01,Textil y Confeccion,True
5302.90.99,Textil y Confeccion,True
5303.10.01,Textil y Confeccion,True
5303.90.99,Textil y Confeccion,True
5305.00.01,Textil y Confeccion,True
5305.00.02,Textil y Confeccion,True
5305.00.03,Textil y Confeccion,True
5305.00.04,Textil y Confeccion,True
5305.00.05,Textil y Confeccion,True
5305.00.06,Textil y Confeccion,True
5305.00.07,Textil y Confeccion,True
5305.00.99,Textil y Confeccion,True
5306.10.01,Textil y Confeccion,True
5306.20.01,Textil y Confeccion,True
5307.10.01,Textil y Confeccion,True
5307.20.01,Textil y Confeccion,True
5308.10.01,Textil y Confeccion,True
5308.20.01,Textil y Confeccion,True
5308.90.01,Textil y Confeccion,True
5308.90.02,Textil y Confeccion,True
5308.90.99,Textil y Confeccion,True
5309.11.01,Textil y Confeccion,True
5309.19.99,Textil y Confeccion,True
5309.21.01,Textil y Confeccion,True
5309.29.99,Textil y Confeccion,True
5310.10.01,Textil y Confeccion,True
5310.90.99,Textil y Confeccion,True
5311.00.01,Textil y Confeccion,True
5311.00.99,Textil y Confeccion,True
5401.10.01,Textil y Confeccion,True
5401.20.01,Textil y Confeccion,True
5402.11.01,Textil y Confeccion,True
5402.19.01,Textil y Confeccion,True
5402.19.99,Textil y Confeccion,True
5402.20.01,Textil y Confeccion,True
5402.20.99,Textil y Confeccion,True
5402.31.01,Textil y Confeccion,True
5402.32.01,Textil y Confeccion,True
5402.33.01,Textil y Confeccion,True
5402.34.01,Textil y Confeccion,True
5402.39.01,Textil y Confeccion,True
5402.39.99,Textil y Confeccion,True
5402.44.01,Textil y Confeccion,True
5402.44.99,Textil y Confeccion,True
5402.45.01,Textil y Confeccion,True
5402.45.02,Textil y Confeccion,True
5402.45.03,Textil y Confeccion,True
5402.45.04,Textil y Confeccion,True
5402.45.99,Textil y Confeccion,True
5402.46.01,Textil y Confeccion,True
5402.47.01,Textil y Confeccion,True
5402.47.02,Textil y Confeccion,True
5402.47.99,Textil y Confeccion,True
5402.48.01,Textil y Confeccion,True
5402.48.02,Textil y Confeccion,True
5402.48.99,Textil y Confeccion,True
5402.49.01,Textil y Confeccion,True
5402.49.02,Textil y Confeccion,True
5402.49.03,Textil y Confeccion,True
5402.49.04,Textil y Confeccion,True
5402.49.05,Textil y Confeccion,True
5402.49.99,Textil y Confeccion,True
5402.51.01,Textil y Confeccion,True
5402.51.99,Textil y Confeccion,True
5402.52.01,Textil y Confeccion,True
5402.52.02,Textil y Confeccion,True
5402.52.99,Textil y Confeccion,True
5402.59.01,Textil y Confeccion,True
5402.59.02,Textil y Confeccion,True
5402.59.03,Textil y Confeccion,True
5402.59.04,Textil y Confeccion,True
5402.59.05,Textil y Confeccion,True
5402.59.99,Textil y Confeccion,True
5402.61.01,Textil y Confeccion,True
5402.61.99,Textil y Confeccion,True
5402.62.01,Textil y Confeccion,True
5402.62.99,Textil y Confeccion,True
5402.69.01,Textil y Confeccion,True
5402.69.02,Textil y Confeccion,True
5402.69.03,Textil y Confeccion,True
5402.69.04,Textil y Confeccion,True
5402.69.05,Textil y Confeccion,True
5402.69.99,Textil y Confeccion,True
5403.10.01,Textil y Confeccion,True
5403.31.01,Textil y Confeccion,True
5403.31.02,Textil y Confeccion,True
5403.32.01,Textil y Confeccion,True
5403.32.02,Textil y Confeccion,True
5403.33.01,Textil y Confeccion,True
5403.39.01,Textil y Confeccion,True
5403.39.99,Textil y Confeccion,True
5403.41.01,Textil y Confeccion,True
5403.41.02,Textil y Confeccion,True
5403.42.01,Textil y Confeccion,True
5403.49.01,Textil y Confeccion,True
5403.49.99,Textil y Confeccion,True
5404.11.01,Textil y Confeccion,True
5404.11.99,Textil y Confeccion,True
5404.12.01,Textil y Confeccion,True
5404.12.99,Textil y Confeccion,True
5404.19.01,Textil y Confeccion,True
5404.19.02,Textil y Confeccion,True
5404.19.03,Textil y Confeccion,True
5404.19.99,Textil y Confeccion,True
5404.90.99,Textil y Confeccion,True
5405.00.01,Textil y Confeccion,True
5405.00.02,Textil y Confeccion,True
5405.00.03,Textil y Confeccion,True
5405.00.04,Textil y Confeccion,True
5405.00.99,Textil y Confeccion,True
5406.00.01,Textil y Confeccion,True
5406.00.02,Textil y Confeccion,True
5406.00.03,Textil y Confeccion,True
5406.00.04,Textil y Confeccion,True
5406.00.05,Textil y Confeccion,True
5407.10.01,Textil y Confeccion,True
5407.10.02,Textil y Confeccion,True
5407.10.99,Textil y Confeccion,True
