fraccion,industria,aviso_automatico
7208.10.01,Siderurgicos,True
6403.99.01,Calzado,True
8501.10.10,Electronica,True
5509.42.00,Textil y Confeccion,True
2905.11.00,Quimicos,True
8703.21.02,Automotriz,True
